estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar
"(0, 0, True)",0.0,0.0,0.0,0.0,0.0
"(0, 0, False)",0.0,0.0,0.0,0.0,0.0
"(0, 1, True)",0,0,0,0,0
"(0, 1, False)",0,0,0,0,0
"(0, 2, True)",0,0,0,0,0
"(0, 2, False)",0,0,0,0,0
"(0, 3, True)",0,0,0,0,0
"(0, 3, False)",0,0,0,0,0
"(0, 4, True)",0,0,0,0,0
"(0, 4, False)",0,0,0,0,0
"(0, 5, True)",0,0,0,0,0
"(0, 5, False)",0,0,0,0,0
"(0, 6, True)",0,0,0,0,0
"(0, 6, False)",0,0,0,0,0
"(0, 7, True)",0,0,0,0,0
"(0, 7, False)",0,0,0,0,0
"(0, 8, True)",0,0,0,0,0
"(0, 8, False)",0,0,0,0,0
"(0, 9, True)",0,0,0,0,0
"(0, 9, False)",0,0,0,0,0
"(0, 10, True)",0,0,0,0,0
"(0, 10, False)",0,0,0,0,0
"(0, 11, True)",0,0,0,0,0
"(0, 11, False)",0,0,0,0,0
"(0, 12, True)",0,0,0,0,0
"(0, 12, False)",0,0,0,0,0
"(0, 13, True)",0,0,0,0,0
"(0, 13, False)",0,0,0,0,0
"(0, 14, True)",0,0,0,0,0
"(0, 14, False)",0,0,0,0,0
"(1, 0, True)",0.0,0.0,0.0,0.0,0.0
"(1, 0, False)",0.0,0.0,0.0,0.0,0.0
"(1, 1, True)",0,0,0,0,0
"(1, 1, False)",0,0,0,0,0
"(1, 2, True)",0,0,0,0,0
"(1, 2, False)",0,0,0,0,0
"(1, 3, True)",0,0,0,0,0
"(1, 3, False)",0,0,0,0,0
"(1, 4, True)",0,0,0,0,0
"(1, 4, False)",0,0,0,0,0
"(1, 5, True)",0,0,0,0,0
"(1, 5, False)",0,0,0,0,0
"(1, 6, True)",0,0,0,0,0
"(1, 6, False)",0,0,0,0,0
"(1, 7, True)",0,0,0,0,0
"(1, 7, False)",0,0,0,0,0
"(1, 8, True)",0,0,0,0,0
"(1, 8, False)",0,0,0,0,0
"(1, 9, True)",0,0,0,0,0
"(1, 9, False)",0,0,0,0,0
"(1, 10, True)",0,0,0,0,0
"(1, 10, False)",0,0,0,0,0
"(1, 11, True)",0,0,0,0,0
"(1, 11, False)",0,0,0,0,0
"(1, 12, True)",0,0,0,0,0
"(1, 12, False)",0,0,0,0,0
"(1, 13, True)",0,0,0,0,0
"(1, 13, False)",0,0,0,0,0
"(1, 14, True)",0,0,0,0,0
"(1, 14, False)",0,0,0,0,0
"(2, 0, True)",0.0,0.0,0.0,0.0,0.0
"(2, 0, False)",0.0,0.0,0.0,0.0,0.0
"(2, 1, True)",0,0,0,0,0
"(2, 1, False)",0,0,0,0,0
"(2, 2, True)",0,0,0,0,0
"(2, 2, False)",0,0,0,0,0
"(2, 3, True)",0,0,0,0,0
"(2, 3, False)",0,0,0,0,0
"(2, 4, True)",0,0,0,0,0
"(2, 4, False)",0,0,0,0,0
"(2, 5, True)",0,0,0,0,0
"(2, 5, False)",0,0,0,0,0
"(2, 6, True)",0,0,0,0,0
"(2, 6, False)",0,0,0,0,0
"(2, 7, True)",0,0,0,0,0
"(2, 7, False)",0,0,0,0,0
"(2, 8, True)",0,0,0,0,0
"(2, 8, False)",0,0,0,0,0
"(2, 9, True)",0,0,0,0,0
"(2, 9, False)",0,0,0,0,0
"(2, 10, True)",0,0,0,0,0
"(2, 10, False)",0,0,0,0,0
"(2, 11, True)",0,0,0,0,0
"(2, 11, False)",0,0,0,0,0
"(2, 12, True)",0,0,0,0,0
"(2, 12, False)",0,0,0,0,0
"(2, 13, True)",0,0,0,0,0
"(2, 13, False)",0,0,0,0,0
"(2, 14, True)",0,0,0,0,0
"(2, 14, False)",0,0,0,0,0
"(3, 0, True)",0.0,0.0,0.0,0.0,0.0
"(3, 0, False)",0.0,0.0,0.0,0.0,0.0
"(3, 1, True)",0,0,0,0,0
"(3, 1, False)",0,0,0,0,0
"(3, 2, True)",0,0,0,0,0
"(3, 2, False)",0,0,0,0,0
"(3, 3, True)",0,0,0,0,0
"(3, 3, False)",0,0,0,0,0
"(3, 4, True)",0,0,0,0,0
"(3, 4, False)",0,0,0,0,0
"(3, 5, True)",0,0,0,0,0
"(3, 5, False)",0,0,0,0,0
"(3, 6, True)",0,0,0,0,0
"(3, 6, False)",0,0,0,0,0
"(3, 7, True)",0,0,0,0,0
"(3, 7, False)",0,0,0,0,0
"(3, 8, True)",0,0,0,0,0
"(3, 8, False)",0,0,0,0,0
"(3, 9, True)",0,0,0,0,0
"(3, 9, False)",0,0,0,0,0
"(3, 10, True)",0,0,0,0,0
"(3, 10, False)",0,0,0,0,0
"(3, 11, True)",0,0,0,0,0
"(3, 11, False)",0,0,0,0,0
"(3, 12, True)",0,0,0,0,0
"(3, 12, False)",0,0,0,0,0
"(3, 13, True)",0,0,0,0,0
"(3, 13, False)",0,0,0,0,0
"(3, 14, True)",0,0,0,0,0
"(3, 14, False)",0,0,0,0,0
"(4, 0, True)",0.0,0.0,0.0,0.0,0.0
"(4, 0, False)",0.0,0.0,0.0,0.0,0.0
"(4, 1, True)",0,0,0,0,0
"(4, 1, False)",0,0,0,0,0
"(4, 2, True)",0,0,0,0,0
"(4, 2, False)",0,0,0,0,0
"(4, 3, True)",0,0,0,0,0
"(4, 3, False)",0,0,0,0,0
"(4, 4, True)",0,0,0,0,0
"(4, 4, False)",0,0,0,0,0
"(4, 5, True)",0,0,0,0,0
"(4, 5, False)",0,0,0,0,0
"(4, 6, True)",0,0,0,0,0
"(4, 6, False)",0,0,0,0,0
"(4, 7, True)",0,0,0,0,0
"(4, 7, False)",0,0,0,0,0
"(4, 8, True)",0,0,0,0,0
"(4, 8, False)",0,0,0,0,0
"(4, 9, True)",0,0,0,0,0
"(4, 9, False)",0,0,0,0,0
"(4, 10, True)",0,0,0,0,0
"(4, 10, False)",0,0,0,0,0
"(4, 11, True)",0,0,0,0,0
"(4, 11, False)",0,0,0,0,0
"(4, 12, True)",0,0,0,0,0
"(4, 12, False)",0,0,0,0,0
"(4, 13, True)",0,0,0,0,0
"(4, 13, False)",0,0,0,0,0
"(4, 14, True)",0,0,0,0,0
"(4, 14, False)",0,0,0,0,0
"(5, 0, True)",0.0,0.0,0.0,0.0,0.0
